DT_CTBIL;SG_EMPRE;CD_CANAL_VENDA;CD_PRODUTO;CD_LOCAL_DEBITO;CD_LOCAL_CREDITO;VL_PREMT;QT_PREMT;CD_CNAPE
30/11/2024;RPS;2;536;9437;9623;1096,12;0;107113
30/11/2024;RPS;2;539;9437;9623;124,73;0;107113
30/11/2024;RPS;2;812;9437;9623;79,46;0;107113
30/11/2024;RPS;2;817;9437;9623;16,22;0;107113
30/11/2024;RPS;2;116;9455;9623;233,66;0;107113
30/11/2024;RPS;2;208;9455;9623;224,71;0;107113
30/11/2024;RPS;2;310;9455;9623;8767,65;0;107113
30/11/2024;RPS;2;315;9455;9623;1500,2;0;107113
30/11/2024;RPS;2;327;9455;9623;912,87;0;107113
30/11/2024;RPS;2;530;9455;9623;2579,83;0;107113
30/11/2024;RPS;2;535;9455;9623;385,18;0;107113
30/11/2024;RPS;2;539;9455;9623;150,82;0;107113
30/11/2024;RPS;2;789;9455;9623;0,3;0;107113
30/11/2024;RPS;2;812;9455;9623;43,77;0;107113
30/11/2024;RPS;2;815;9455;9623;19,75;0;107113
30/11/2024;RPS;2;941;9455;9623;715,56;0;107113
30/11/2024;RPS;2;116;9459;9623;38,04;0;107113
30/11/2024;RPS;2;310;9459;9623;12197,97;0;107113
30/11/2024;RPS;2;315;9459;9623;4085,24;0;107113
30/11/2024;RPS;2;321;9459;9623;197,62;0;107113
30/11/2024;RPS;2;327;9459;9623;748,02;0;107113
30/11/2024;RPS;2;335;9459;9623;468,3;0;107113
30/11/2024;RPS;2;530;9459;9623;3125,54;0;107113
30/11/2024;RPS;2;535;9459;9623;1122,34;0;107113
30/11/2024;RPS;2;539;9459;9623;84,82;0;107113
30/11/2024;RPS;2;812;9459;9623;259,33;0;107113
30/11/2024;RPS;2;815;9459;9623;25,53;0;107113
30/11/2024;RPS;2;310;9534;9623;633,24;0;107113
30/11/2024;RPS;2;530;9534;9623;311,57;0;107113
30/11/2024;RPS;2;812;9534;9623;13,03;0;107113
30/11/2024;RPS;2;208;9555;9623;66,66;0;107113
30/11/2024;RPS;2;310;9555;9623;5502,05;0;107113
30/11/2024;RPS;2;315;9555;9623;372,09;0;107113
30/11/2024;RPS;2;327;9555;9623;391,32;0;107113
